subword	prod	cum_freq	idiosyncrasy_index
ст	700	2350	3.357142857142857
ро	631	2811	4.454833597464343
по	1417	4148	2.9273112208892025
ни	414	1070	2.5845410628019323
ві	441	3394	7.696145124716553
ра	460	1522	3.3086956521739133
ти</w>	524	2347	4.479007633587786
ер	548	1650	3.010948905109489
ли	635	1644	2.588976377952756
до	624	1512	2.423076923076923
го	437	2299	5.260869565217392
ви	898	2426	2.7015590200445434
ог	96	742	7.729166666666667
ло	499	1976	3.9599198396793587
ва	879	3661	4.164960182025029
на	922	3958	4.292841648590022
нн	348	624	1.793103448275862
ри	488	1897	3.887295081967213
не	634	2410	3.8012618296529967
му	129	427	3.310077519379845
за	626	2065	3.2987220447284344
ла	360	1046	2.9055555555555554
ся</w>	13	1639	126.07692307692308
лю	118	564	4.779661016949152
да	554	1603	2.8935018050541514
пра	39	88	2.2564102564102564
про	419	1316	3.1408114558472553
ть</w>	1023	3326	3.251221896383187
ні</w>	292	766	2.6232876712328768
ми	238	465	1.953781512605042
ка	515	2345	4.553398058252427
ве	251	791	3.151394422310757
ти	453	1489	3.2869757174392937
рі	276	579	2.097826086956522
па	253	652	2.5770750988142295
люб	49	154	3.142857142857143
роз	279	466	1.6702508960573477
ді	172	545	3.1686046511627906
вя	82	132	1.6097560975609757
мер	29	101	3.4827586206896552
бі	174	680	3.9080459770114944
сть</w>	79	623	7.886075949367089
ого</w>	243	3406	14.016460905349794
муд	21	37	1.7619047619047619
ди	535	1890	3.532710280373832
во	562	3040	5.409252669039146
ння</w>	147	383	2.6054421768707483
ниц	55	117	2.1272727272727274
мо	368	1459	3.964673913043478
то	209	1273	6.090909090909091
сти	201	495	2.462686567164179
сь</w>	748	1787	2.3890374331550803
сл	176	775	4.403409090909091
ний</w>	209	416	1.9904306220095693
доб	76	342	4.5
вір	92	602	6.543478260869565
би	192	630	3.28125
пі	233	879	3.772532188841202
голо	32	240	7.5
свя	13	24	1.8461538461538463
ре	360	1661	4.613888888888889
прав	59	184	3.1186440677966103
пер	69	302	4.3768115942028984
ста	356	1294	3.634831460674157
сла	103	494	4.796116504854369
розу	20	66	3.3
ник	130	395	3.0384615384615383
мі	264	971	3.678030303030303
ли</w>	692	3735	5.3973988439306355
грі	29	208	7.172413793103448
бо	197	1396	7.086294416243655
чи	436	1391	3.1903669724770642
хо	345	1279	3.7072463768115944
те	244	1061	4.348360655737705
сти</w>	89	343	3.853932584269663
пог	87	296	3.4022988505747125
мерт	32	174	5.4375
лик	25	74	2.96
велик	16	275	17.1875
бе	40	263	6.575
ів</w>	159	661	4.1572327044025155
те</w>	368	1265	3.4375
стра	37	100	2.7027027027027026
розумі	30	118	3.933333333333333
правд	25	217	8.68
праве	0	0	0
правед	29	148	5.103448275862069
пок	165	507	3.0727272727272728
пере	216	743	3.439814814814815
пи	278	956	3.4388489208633093
ну	356	707	1.9859550561797752
ми</w>	363	1643	4.526170798898072
лаго	29	551	19.0
лу	153	314	2.052287581699346
ко</w>	34	440	12.941176470588236
голод	13	32	2.4615384615384617
від	321	954	2.97196261682243
важ	59	124	2.1016949152542375
ві</w>	160	782	4.8875
ва</w>	91	491	5.395604395604396
благо	76	209	2.75
ан	159	747	4.69811320754717
ще	71	134	1.8873239436619718
ус	137	1146	8.364963503649635
тор	16	69	4.3125
тер	44	111	2.522727272727273
сті</w>	28	71	2.5357142857142856
стю</w>	32	84	2.625
слі	15	35	2.3333333333333335
ру	182	610	3.3516483516483517
при	407	1727	4.243243243243243
них</w>	111	607	5.468468468468468
ним</w>	91	376	4.131868131868132
на</w>	192	2194	11.427083333333334
ля	297	632	2.127946127946128
ль</w>	42	125	2.9761904761904763
ле	369	723	1.9593495934959348
гн	46	108	2.347826086956522
без	80	123	1.5375
істи	7	118	16.857142857142858
ьвя	1	1	1.0
хва	41	118	2.8780487804878048
торк	5	5	1.0
торкну	9	30	3.3333333333333335
тися</w>	1	1	1.0
терпі	25	75	3.0
слї	45	191	4.2444444444444445
сьвя	68	361	5.3088235294117645
ремуд	0	0	0
радо	9	45	5.0
рі</w>	36	203	5.638888888888889
пас	47	185	3.9361702127659575
премуд	10	55	5.5
од	233	874	3.7510729613733904
ного</w>	124	415	3.346774193548387
но</w>	206	696	3.378640776699029
мило	30	78	2.6
ляка	19	55	2.8947368421052633
люби	21	140	6.666666666666667
лі	87	145	1.6666666666666667
ль	190	922	4.852631578947369
ло</w>	153	834	5.450980392156863
ла</w>	249	898	3.606425702811245
ку</w>	114	387	3.3947368421052633
ки</w>	108	853	7.898148148148148
заг	22	27	1.2272727272727273
зві	29	59	2.0344827586206895
жи	249	1096	4.401606425702811
ду	323	1268	3.9256965944272446
віч	43	191	4.441860465116279
вий</w>	21	96	4.571428571428571
впа	14	57	4.071428571428571
