a	46225
d@@	32247
u@@	29242
t@@	27094
i	23727
l	22824
m@@	22149
a@@	22109
st@@	22073
z@@	21666
v@@	20022
r@@	20012
po@@	19910
s@@	19677
o@@	19606
k@@	19242
ne@@	18224
á@@	18163
ž	17839
b@@	17797
h@@	17623
m	17489
p@@	17362
j@@	16847
n@@	15890
li	15801
e@@	14376
l@@	13966
i@@	13693
v	13473
é	13247
š@@	13165
na	12843
je@@	12352
í	12314
se	11628
li@@	11448
c@@	11068
ti	10986
ž@@	10826
e	10739
í@@	10731
n	10704
ch@@	10672
sv@@	10085
ní	9954
o	9731
u	9611
ou	9480
k	9461
y	9421
na@@	9227
sk@@	8913
ov@@	8883
za@@	8704
le@@	8696
ř@@	8569
s	8310
ro@@	7831
ch	7765
ni@@	7757
ra@@	7755
ko@@	7583
te@@	7401
sl@@	7371
ého	7306
č@@	7295
to@@	7286
á	7139
pro@@	7111
to	7080
by@@	6999
ve@@	6930
mu	6853
ní@@	6839
y@@	6838
ze@@	6697
z	6529
ně@@	6405
ce	6381
vy@@	6302
vi@@	6294
mi	6233
la@@	6077
mo@@	6070
é@@	6037
ob@@	5992
ě@@	5957
ná@@	5940
ho	5914
de@@	5899
ho@@	5889
d	5779
bo@@	5726
do@@	5645
tv@@	5604
že	5592
při@@	5545
sy@@	5499
ů@@	5478
š	5437
da@@	5411
ů	5349
dě@@	5341
či@@	5278
jest	5261
ť	5236
no@@	5227
ých	5218
vě@@	5207
jeho	5148
te	5133
va@@	5037
lo@@	4920
me@@	4916
že@@	4867
se@@	4847
ý@@	4760
vo@@	4718
rá@@	4692
ne	4674
do	4578
ře@@	4555
ji@@	4508
nov@@	4489
js@@	4413
ni	4412
pak	4388
pa@@	4337
ru@@	4300
je	4292
j	4228
pra@@	4193
še@@	4181
vá@@	4146
mě@@	4090
sta@@	4008
ma@@	3966
la	3934
t	3832
ý	3794
ně	3767
bud@@	3752
ka@@	3733
krá@@	3732
ce@@	3686
di@@	3656
ci	3643
nebo	3626
hospodi@@	3577
al@@	3530
jsem	3506
od@@	3476
ud@@	3430
če@@	3404
ím	3403
ví	3359
ří@@	3329
tě@@	3307
hospodin	3277
jí	3245
lov@@	3207
il	3173
by	3120
lo	3098
nu	3004
aby	2977
př@@	2878
f@@	2869
řekl	2835
bude	2831
vš@@	2823
ale	2823
jí@@	2804
st	2790
be@@	2786
le	2769
ým	2764
když	2758
od	2756
ku	2670
roz@@	2663
ova@@	2648
pře@@	2644
sti	2633
ti@@	2610
izrae@@	2602
mi@@	2590
no	2582
sa@@	2577
ží@@	2557
ví@@	2553
pr@@	2553
ka	2533
mu@@	2523
všeck@@	2501
vše@@	2501
byl	2501
ny	2494
né	2484
ou@@	2452
mě	2435
za	2420
tak@@	2414
ži@@	2413
g@@	2405
dá@@	2405
lé@@	2343
ky	2308
tak	2284
kterýž	2266
obě	2265
ě	2262
lá@@	2231
jejich	2226
ha@@	2220
tí	2211
zá@@	2159
ta@@	2144
jako	2123
ům	2117
du	2115
kteříž	2100
ta	2082
své	2081
c	2075
sí@@	2028
tě	2025
ká@@	2024
še	2017
me	2006
dob@@	1995
které@@	1994
mí@@	1988
tedy	1973
dl@@	1966
ný	1927
ja@@	1919
před	1917
mlu@@	1906
ůj	1888
h	1829
kte@@	1725
r	1714
b	1668
ú@@	1407
dy	1400
jak@@	1169
-@@	1164
neb@@	1023
lu@@	1008
ck@@	974
řek@@	970
č	959
ň	740
ř	705
ď	695
ň@@	656
ď@@	648
iz@@	576
spo@@	558
jich	526
ó	512
který@@	416
ť@@	385
sem	292
p	251
kter@@	239
f	190
kdy@@	186
dy@@	168
kteří@@	118
ó@@	87
x@@	59
1@@	53
hospo@@	39
g	38
3@@	28
2@@	24
4	23
1	23
3	22
2	22
0	21
9	20
8	17
4@@	17
5@@	16
7	13
5	13
6@@	10
6	10
izra@@	9
x	7
8@@	7
7@@	4
#@@	3
0@@	2
9@@	1
