og	39007
s@@	32868
t@@	28363
g@@	27153
m@@	24952
d@@	24254
de	23418
b@@	22809
n@@	22686
er	22494
d	21240
l@@	20441
e@@	19906
i	19418
v@@	19259
k@@	19013
en	19011
f@@	17962
i@@	17351
o@@	17268
r@@	16724
a@@	16321
h@@	16185
st@@	15346
s	15093
til	14827
j@@	14509
der	13893
u@@	13050
t	12837
den	12772
et	12720
en@@	12439
e	12054
det	11549
el@@	11160
in@@	10485
p@@	10389
de@@	10012
y@@	10009
al@@	9940
han	9900
som	9801
at	9716
re	9677
sk@@	9674
n	9588
ø@@	9574
for	9567
an@@	9226
er@@	9081
å@@	9022
æ@@	8909
jeg	8186
g	8149
af	7317
re@@	7304
ikke	7183
på	6907
skal	6678
or@@	6540
så	6469
le@@	6435
vi@@	6362
med	6142
men	6077
v	5846
te	5752
da	5717
ham	5708
es	5630
dem	5619
du	5455
se	5425
k	5239
der@@	5209
ge	5129
ede	5035
mm@@	5019
herren	4948
ør@@	4942
ræ@@	4933
ag@@	4879
for@@	4859
m	4853
ve	4756
un@@	4737
væ@@	4691
ig@@	4627
dig	4567
ar@@	4490
ne	4480
dt	4451
fra	4449
li@@	4263
mig	4195
r	4131
lig@@	4131
har	4121
da@@	4107
be@@	4090
år	4056
sa@@	4049
hu@@	4044
ha@@	4002
ti@@	3971
erne	3936
læ@@	3868
a	3828
br@@	3812
var	3765
sig	3763
ved	3749
hans	3675
sagde	3671
la@@	3664
gi@@	3620
gen	3553
ens	3522
lan@@	3521
thi	3485
des	3478
å	3412
ho@@	3381
dr@@	3356
el	3353
ra@@	3336
om	3333
it	3331
l	3316
lo@@	3287
hv@@	3275
eder	3238
jor@@	3231
ende	3216
jer@@	3185
sy@@	3144
kon@@	3138
ul@@	3117
hel@@	3113
ter	3080
fol@@	3069
sø@@	3051
ne@@	3042
ær@@	3002
le	2997
alle	2989
ine	2925
ver	2918
sig@@	2912
gud	2899
ka@@	2833
æn@@	2801
deres	2797
til@@	2791
ger	2748
tte	2722
o	2715
ste	2700
og@@	2680
ene	2665
over	2647
je@@	2625
ler	2607
ere	2606
din	2602
isra@@	2574
mo@@	2568
her@@	2565
gu@@	2551
or	2541
z@@	2535
ds@@	2520
ds	2516
min	2511
u	2499
age	2471
fa@@	2457
ån@@	2451
dte	2432
man@@	2406
by@@	2395
ed	2382
fr@@	2370
ud	2362
fre@@	2331
lø@@	2330
tr@@	2329
komm@@	2329
is@@	2215
hø@@	2211
havde	2195
vil	2162
mod	2162
j	2148
of@@	2129
st	2125
hed	2122
ig	2121
fø@@	2106
sp@@	2104
ns	2104
ble@@	2076
hvad	2073
ri@@	2069
søn	2063
ga@@	2027
ve@@	2002
na@@	1988
ud@@	1985
tt@@	1979
ly@@	1973
rede	1946
ders	1944
sin	1925
b	1916
ba@@	1913
kom	1908
va@@	1888
vi	1885
gø@@	1868
ner	1867
op@@	1864
us	1857
dre	1843
efter	1842
dø@@	1838
jo@@	1811
herr@@	1802
op	1801
nin@@	1792
kk@@	1775
ska@@	1772
'@@	1379
ko@@	1086
ef@@	975
fo@@	953
0@@	806
kke	769
0	754
res	661
y	581
sag@@	523
c@@	493
p	445
-@@	404
hav@@	361
th@@	278
in	274
æ	270
f	252
ø	242
1@@	230
2@@	201
z	166
3@@	138
5@@	117
-	115
2	110
6@@	104
4@@	101
7@@	93
1	74
5	69
h	52
4	52
3	51
7	48
8@@	43
8	38
x@@	33
6	30
9@@	29
'	17
9	10
@@	6
vad	4
é@@	3
é	3
\@@	2
|	1
x	1
