the	63991
and	56081
of	35658
s@@	30666
a@@	26332
c@@	24508
i@@	23876
e@@	22952
p@@	22712
t@@	21387
m@@	19682
d@@	19368
u@@	19202
o@@	18084
l@@	17769
y	17442
w@@	17226
ed	16905
b@@	16456
s	16324
g@@	16165
in	16133
to	15616
r@@	15292
t	15194
v@@	14811
re@@	14150
f@@	13038
th	12923
that	12917
in@@	12313
er@@	12294
h@@	11873
d	11842
ar@@	11694
se@@	11538
th@@	11489
he	11403
be@@	10917
an@@	10846
a	10786
n@@	10564
e	10515
k@@	10506
le@@	10195
i	9901
st	9858
shall	9838
ing	9832
st@@	9461
sa@@	9191
ha@@	9112
y@@	9044
unto	9035
for	8970
he@@	8696
ou@@	8551
his	8473
se	8421
ri@@	8351
lord	7831
o	7554
es	7459
they	7376
be	7357
it	7115
li@@	7064
en	7048
is	7012
not	6780
him	6684
ho@@	6650
me	6618
them	6428
da@@	6420
j@@	6364
en@@	6328
or@@	6310
ma@@	6211
with	6170
de@@	6090
m	5920
all	5903
la@@	5834
ca@@	5530
thou	5475
ld	5427
on	5296
h	5231
er	5168
k	5125
ce	5102
l	4987
ra@@	4970
ne@@	4938
ro@@	4905
on@@	4827
it@@	4793
ther	4743
ti@@	4735
ev@@	4719
thy	4703
my	4579
wa@@	4544
was	4525
ve	4470
god	4443
which	4413
at	4385
lo@@	4329
ta@@	4210
our	4184
fa@@	4116
ye	4100
out	4049
ss	3997
said	3997
but	3997
their	3931
fi@@	3919
have	3916
ke	3906
ght	3885
will	3855
w	3833
thee	3826
al@@	3787
f	3769
as	3756
n	3752
co@@	3749
the@@	3668
from	3645
one	3642
red	3631
wi@@	3607
si@@	3583
are	3583
us	3557
so	3511
ly	3486
do@@	3467
fore	3395
ab@@	3320
we@@	3293
le	3276
un@@	3233
an	3221
hou@@	3212
man	3172
hi@@	3120
oun@@	3088
pa@@	3052
na@@	3002
ts	2954
te@@	2918
ter	2902
ld@@	2853
de	2841
when	2834
ent	2798
this	2788
mi@@	2779
were	2774
upon	2768
id	2743
z@@	2719
son	2718
mo@@	2699
by	2698
sha@@	2697
or	2678
me@@	2647
you	2613
go@@	2599
chi@@	2577
king	2573
there@@	2572
israel	2567
ll	2556
gh@@	2520
rea@@	2490
ga@@	2483
ar	2476
is@@	2459
up	2453
ers	2440
ds	2432
gi@@	2427
ine	2422
je@@	2415
pe@@	2410
ren	2388
lt	2386
to@@	2384
then	2372
aga@@	2363
ver	2337
hath	2328
ah	2326
bu@@	2319
su@@	2306
there	2300
ings	2288
tion	2271
ons	2239
fe@@	2210
ye@@	2206
came	2201
wn	2197
ur@@	2176
of@@	2171
for@@	2154
now	2143
people	2140
con@@	2139
her	2130
come	2128
po@@	2124
g	2095
men	2080
man@@	2061
wor@@	2057
so@@	2055
r	1970
ch	1942
'@@	1767
p	1728
b	1498
re	1486
no@@	1348
whe@@	1234
ing@@	1183
ord	1182
el	1118
x@@	1097
q@@	953
op@@	680
-@@	665
ere	577
up@@	523
whi@@	512
x	353
ir	339
z	238
'	230
u	203
c	141
fro@@	47
isra@@	35
peop@@	6
ou	2
-	1
