de	35658
s@@	33287
et	33221
p@@	30380
m@@	29605
s	28201
t@@	25840
l@@	25458
a@@	25353
le	24759
r@@	23554
c@@	22332
les	21965
i@@	21429
d@@	21122
la	20738
f@@	20327
é@@	20226
o@@	19628
b@@	19464
g@@	18036
a	17638
en@@	17482
ch@@	17336
u@@	15957
e@@	15898
v@@	15722
n@@	15441
à	15049
t	14343
an@@	12853
er@@	12361
e	12056
l`@@	11563
ti@@	11445
te	11414
or@@	11379
il	11342
que	11152
ce	10595
ne	10533
des	10194
qui	10108
re	10039
d`@@	9759
ai@@	9729
au@@	9611
ri@@	9451
i	9318
en	9299
é	9216
em@@	8892
oi@@	8839
h@@	8829
se	8716
on	8681
ent	8496
j@@	8447
-@@	8353
ait	8275
ou@@	8254
on@@	8076
vi@@	8075
r	8041
es	7806
ar@@	7786
es@@	7734
ss@@	7662
me	7575
er	7416
ét@@	7370
av@@	7367
ra@@	7316
je	7203
tr@@	7185
un	7057
vous	7050
par@@	7009
n	6936
li@@	6926
dans	6899
y@@	6890
ant	6845
di@@	6797
ont	6672
qu@@	6665
tre	6578
l`éternel	6577
du	6459
eux	6401
sa@@	6320
pour	6288
ils	6169
el@@	5942
pr@@	5918
ser@@	5909
tes	5828
son	5746
re@@	5741
con@@	5711
tu	5664
fi@@	5601
è@@	5352
eur	5266
est	5210
su@@	5150
dit	5020
eu@@	5014
au	4974
ui@@	4930
in@@	4805
ab@@	4793
pas	4571
ez	4521
pa@@	4505
il@@	4445
d	4439
al@@	4413
ses	4360
`@@	4358
ê@@	4288
sur	4288
mai@@	4268
si@@	4210
ée	4206
qu`@@	4199
dieu	4179
fils	4169
lui	4095
une	3996
ré@@	3929
m	3861
se@@	3846
ons	3842
ju@@	3821
mes	3793
end@@	3780
dé@@	3758
ai	3722
té	3716
tou@@	3694
eurs	3653
ts	3636
ev@@	3570
jou@@	3539
vo@@	3537
n`@@	3534
om@@	3532
nous	3481
am@@	3471
ter@@	3415
ère	3382
sa	3362
avec	3349
s`@@	3285
cou@@	3204
res	3193
gn@@	3189
aux	3169
car	3162
rent	3142
pri@@	3129
elle	3101
hom@@	3088
voi@@	3086
leur	3075
si	3073
aient	3069
ver@@	3062
lu@@	3023
par	2995
ci@@	2995
as	2974
et@@	2970
comme	2925
co@@	2876
mi@@	2845
és	2844
pro@@	2839
z@@	2826
mais	2812
ag@@	2767
ca@@	2749
ra	2714
at@@	2709
ph@@	2694
cri@@	2690
mon	2687
israël	2603
roi	2597
u	2595
ap@@	2578
tous	2544
â@@	2542
jé@@	2535
èrent	2508
l	2467
ran@@	2421
ès	2400
qu`il	2399
peu@@	2389
ces	2369
ne@@	2355
ain@@	2351
point	2298
com@@	2296
ton	2295
toi	2279
ten@@	2274
eu	2263
ille	2262
el	2249
tout	2241
fu@@	2240
ta	2222
moi	2199
ants	2199
ac@@	2196
no@@	2194
x@@	2155
c`est	2144
fai@@	2130
pl@@	2127
pi@@	2118
ens	2116
donn@@	2095
pou@@	2087
y	2001
h	1832
oi	1726
x	1609
ï@@	1536
î@@	1444
don@@	1395
rs	1391
is@@	1285
b	1265
ô@@	1209
c	1206
ans	1169
ù	1148
k@@	1100
z	940
nt	879
ç@@	776
f	707
û@@	694
1@@	679
p	676
g	661
ous	553
ï	475
ü@@	434
éternel	419
2	397
9	358
o	350
1	350
q	345
8	337
4	302
2@@	297
-	286
5	279
0	252
ô	251
4@@	250
k	245
poi@@	232
6	225
3	225
7	222
3@@	221
c`@@	211
6@@	166
ël	164
éterne@@	161
8@@	155
5@@	141
ec	130
à@@	128
erne@@	128
ü	107
7@@	51
0@@	44
ë@@	30
isra@@	17
9@@	17
û	10
ë	8
v	2
