und	47131
h@@	33215
t@@	30999
t	28312
m@@	27325
en	27132
l@@	26316
der	25361
er	24712
g@@	22851
b@@	22576
e	21550
s@@	21273
ge@@	21216
r@@	20284
f@@	19564
o@@	19073
n@@	18734
z@@	18031
d@@	17596
s	17467
er@@	17266
st@@	16666
die	16602
a@@	16552
u@@	16459
w@@	16105
k@@	15267
an@@	15077
den	14307
ich	13733
i@@	13223
sch@@	12614
es	12531
ch@@	12415
ten	11990
e@@	11782
un@@	11654
en@@	10844
gen	10684
zu	10578
ä@@	10569
te	10187
sie	9813
ein	9770
in	9694
n	9539
se@@	8935
das	8780
p@@	8679
g	8095
daß	8044
al@@	7967
ö@@	7730
r	7670
des	7655
nicht	7590
st	7499
ü@@	7264
sa@@	7233
in@@	7119
dem	7057
ist	7010
re@@	7002
el@@	6897
j@@	6820
de	6472
be@@	6323
ter	6309
an	6283
wi@@	6267
von	6226
da	6147
auf	6138
ver@@	6100
ie@@	6074
aber	6012
l	5961
ha@@	5912
cht	5794
so	5782
ben	5771
mit	5696
ei@@	5667
eu@@	5555
eh@@	5532
da@@	5486
au@@	5457
du	5328
um	5266
wa@@	5246
ri@@	5238
denn	5170
ren	5050
d	5007
ge	4936
m	4904
i	4848
ein@@	4841
ß@@	4799
einen	4789
ihr	4711
eine	4673
herr	4559
ma@@	4558
el	4524
la@@	4331
li@@	4220
ra@@	4172
all@@	4092
a	4031
te@@	3968
fü@@	3929
re	3911
mm@@	3841
ch	3840
le@@	3807
ih@@	3803
na@@	3802
ro@@	3786
sprach	3775
hab@@	3775
aus	3774
b	3773
herrn	3755
v@@	3695
and	3695
de@@	3680
wei@@	3671
or@@	3577
wie	3532
chen	3517
ab@@	3496
ihm	3441
hei@@	3365
wird	3361
k	3351
ta@@	3313
sich	3278
sein	3232
oh@@	3187
einem	3186
die@@	3186
vor	3101
soll@@	3097
der@@	3031
ll@@	3028
hat	3026
we@@	3015
so@@	2980
euch	2978
lei@@	2973
aus@@	2970
rei@@	2936
gott	2929
ger@@	2914
geh@@	2898
her@@	2859
ur@@	2849
ß	2838
ihn	2796
h	2786
gt	2782
dern	2747
br@@	2713
sp@@	2694
lie@@	2691
kin@@	2683
dar@@	2607
ni@@	2597
werden	2590
isra@@	2556
war	2549
was	2548
ern	2537
einer	2530
ssen	2511
im	2509
je@@	2486
rie@@	2481
men	2477
auch	2475
über	2474
wor@@	2464
komm@@	2425
mir	2422
sie@@	2415
geb@@	2409
will	2382
ne@@	2354
hi@@	2354
un	2342
nen	2342
tte	2336
ar@@	2335
pf@@	2334
vo@@	2330
alle	2330
och	2315
ck@@	2310
zu@@	2299
sind	2276
cht@@	2270
am	2269
ihnen	2268
wer@@	2267
soh@@	2258
eit	2256
nach	2243
ja@@	2235
dir	2216
ss@@	2212
seine	2152
vol@@	2138
auf@@	2128
chte	2118
se	2108
soll	2106
än@@	2084
si@@	2083
ün@@	2077
könig	2076
vi@@	2064
's	2060
di@@	2045
z	1929
mi@@	1923
em	1832
got@@	1598
o	1441
f	1379
üb@@	1333
köni@@	1247
y@@	1229
ko@@	1120
den@@	1120
ot@@	1114
rd	1077
spra@@	782
-@@	664
c@@	628
u	626
is@@	578
herr@@	464
sin@@	429
kö@@	394
ll	393
2@@	172
ie	138
1@@	135
q@@	134
2	122
3	90
1	87
5	82
3@@	79
7	66
4	63
8	61
6	57
0	56
4@@	44
9	30
x@@	25
x	17
p	12
-	8
5@@	6
v	4
ä	3
8@@	1
6@@	1
'@@	1
'	1
