और	37467
के	35204
ने	26872
न	24345
ब@@	23955
म@@	23171
प@@	22398
स@@	22309
से	22230
ा@@	21627
र	19491
ल@@	19101
को	17341
द@@	17219
में	16265
है	16004
ी@@	15913
की	15843
च@@	15770
ा	15680
त@@	15155
ों	15015
ो@@	14948
व@@	14809
ग@@	14792
र@@	14280
ी	14205
ि@@	13859
श@@	13841
य@@	13733
े@@	13684
का	12875
ह@@	12798
अ@@	12775
क@@	12687
ू@@	12611
ता	12524
ं@@	12369
कर@@	12232
न@@	11986
ज@@	11891
्@@	11842
आ@@	11521
कर	11290
भ@@	11089
ल	10759
त	10255
े	9875
ध@@	9435
कि	9205
उस	9191
म	8696
न्@@	8447
पर	8323
जा@@	8201
ट@@	8123
ख@@	7839
वह	7723
जो	7646
ना	7635
प्र@@	7309
मैं	7204
हा@@	7186
थ@@	7126
र्@@	6964
ना@@	6903
ं	6806
यहोवा	6722
ई	6649
ु@@	6563
स्@@	6508
ए	6481
अपने	6464
बा@@	6418
ष@@	6411
ते	6344
सा@@	6281
उ@@	6146
ठ@@	6144
ह	6142
ड़@@	6025
का@@	5977
वि@@	5873
ले	5862
ार@@	5860
छ@@	5700
रह@@	5631
लिये	5578
मा@@	5523
ग	5463
तब	5386
रा@@	5372
भी	5301
उस@@	5172
हैं	5099
ि	5081
ो	5061
स	5044
हो@@	4946
हो	4946
ै@@	4944
तो	4938
ही	4919
वा@@	4917
मु@@	4864
ियों	4678
य	4651
था	4575
उसके	4550
्य@@	4525
नि@@	4500
ें	4464
वे	4441
त्@@	4407
लो@@	4405
ड@@	4355
क	4348
तू	4263
या@@	4262
पा@@	4255
दे@@	4233
थ	4216
एक	4179
्व@@	4143
या	4135
दा@@	4116
सब	4043
गा	4010
मे@@	3991
कहा	3985
री	3980
ला@@	3941
यह	3925
घ@@	3883
परमेश्वर	3879
उन@@	3845
नहीं	3841
ले@@	3810
रा	3809
तुम	3742
चा@@	3728
द	3713
सु@@	3711
ते@@	3696
सा	3688
ए@@	3683
ऊ@@	3668
कह@@	3661
ु	3626
ला	3622
ौ@@	3611
हु@@	3606
इ@@	3579
उन	3532
क्योंकि	3477
ट	3411
ारे	3304
तु@@	3238
नु@@	3176
कि@@	3168
्य	3165
रू@@	3140
कु@@	3109
हे	3069
ति	3031
ण@@	3025
ण	2985
ढ़@@	2936
ंगा	2932
ती	2931
ान	2927
फ@@	2917
परन्तु	2883
दू@@	2851
मेरे	2826
क्@@	2814
किया	2801
जब	2799
्र@@	2770
ृ@@	2750
मि@@	2738
गया	2730
दिया	2710
त्र@@	2707
श	2692
ष	2659
झे	2649
भा@@	2647
ंगे	2641
द्@@	2635
पास	2631
हि@@	2630
ब	2622
थे	2610
क्या	2605
जि@@	2599
फिर	2594
तेरे	2559
तुम्ह@@	2546
तक	2541
सी	2513
पु@@	2498
देश	2481
राजा	2471
ली	2462
झ	2429
ओं	2422
प	2396
उन्ह@@	2382
कार@@	2352
दी	2341
इस	2339
इस@@	2330
नी	2325
िय@@	2320
नेवा@@	2313
अपनी	2228
हुए	2226
हम	2213
पुत्रा	2191
देख@@	2180
म्@@	2151
ध	2130
नों	2127
ख	2124
इस्राए@@	2121
ड़े	2110
ता@@	2101
रे	2080
दिन	2052
लिय@@	2042
त्रा	2040
सम@@	2004
ऐ@@	2003
जाए@@	1997
ड़	1990
उसे	1988
ेगा	1984
रख@@	1933
छ	1927
गी	1922
ओर	1912
कोई	1909
बु@@	1877
हूं	1869
सि@@	1858
ड़ा	1851
ारा	1850
दि@@	1840
गों	1839
जिस	1826
हू@@	1819
ज्@@	1818
हुआ	1814
गे	1813
च	1811
जा	1757
ज	1660
वा	1636
पर@@	1605
झ@@	1579
ढ@@	1519
ञ@@	1451
अप@@	1445
्	1434
व	1427
म्ह@@	1330
ू	1312
-	1139
न्त@@	1053
ई@@	1013
ीं	995
ाए@@	967
ठ	817
को@@	799
फि@@	791
़	788
ओ	784
आ	756
श्व@@	729
ओ@@	722
ने@@	618
ौ	588
ड	553
क्य@@	539
ै	532
यहो@@	502
न्ह@@	446
ँ	435
हीं	389
भ	364
िया	343
श्वर	301
फ	294
ों@@	208
़@@	185
औ@@	127
क्यों@@	100
न्तु	84
घ	77
ऐ	57
ऊ	51
ँ@@	49
ऋ@@	35
ॆ@@	32
ॊ	24
ञ	24
ॊ@@	21
परमे@@	15
अ	14
इ	13
्राए@@	12
ढ	10
-@@	9
'	8
ृ	7
ॅ@@	6
`@@	6
उ	4
ॉ	3
औ	3
ैं	2
९	1
३@@	1
३	1
२	1
ळ@@	1
ऱ@@	1
ऋ	1
