और	37465
के	30751
से	20463
है	16004
में	15904
ने	15891
को	14789
की	13286
का	9815
उस	9188
कि	8937
पर	7760
वह	7723
जो	7636
मैं	7204
न	6862
यहोवा	6721
अपने	6464
तब	5380
हैं	5099
तो	4929
हो	4861
उसके	4550
वे	4316
भी	4303
तू	4255
एक	4161
लिये	4100
सब	4042
था	3989
कहा	3984
यह	3919
परमेश्वर	3878
नहीं	3840
तुम	3740
ही	3588
उन	3532
क्योंकि	3475
परन्तु	2881
मेरे	2825
जब	2799
किया	2751
गया	2728
दिया	2661
क्या	2603
पास	2597
फिर	2593
थे	2545
तेरे	2514
राजा	2471
कर	2401
हे	2368
इस	2337
तक	2332
देश	2311
अपनी	2228
हुए	2226
हम	2197
पुत्रा	2182
उसे	1988
दिन	1965
ओर	1906
कोई	1905
ले	1829
जिस	1826
हुआ	1813
हूं	1811
उन@@के	1709
ग@@ए	1673
लो@@गों	1668
हा@@थ	1634
ना@@म	1626
कार@@ण	1625
कु@@छ	1599
लो@@ग	1577
कर@@ता	1512
मु@@झे	1498
उस@@का	1489
सा@@थ	1474
इस@@लिये	1462
मे@@री	1456
उस@@की	1427
कर@@ने	1398
य@@द@@ि	1392
इस्राए@@ल	1365
का@@म	1328
कर@@के	1319
म@@नु@@ष@@्य	1315
उस@@को	1308
उन्ह@@ों	1266
तुम्ह@@ारे	1262
थ@@ी	1241
सा@@म्ह@@ने	1213
ऐ@@सा	1168
द@@े	1158
मु@@झ	1125
उन्ह@@ें	1115
अ@@र्@@थ@@ा@@त@@्	1108
प्र@@भ@@ु	1096
तु@@झे	1088
म@@न	1079
हु@@ई	1073
कर@@ते	1070
न@@ग@@र	1062
जा@@ए	1057
ब@@हु@@त	1050
ते@@रा	1049
रह@@े	1034
सम@@य	1033
प@@ि@@ता	1024
कि@@सी	1024
रह@@ा	1021
दा@@ऊ@@द	1019
य@@े	1014
ते@@री	1011
मे@@रा	1002
स@@ो	1001
व@@च@@न	992
अप@@ना	990
कह@@ता	979
दी	969
अ@@नु@@सा@@र	959
आ@@ज्@@ञ@@ा	943
लिय@@ा	941
अ@@ब	928
य@@ी@@श@@ु	926
ग@@ई	918
ह@@म@@ारे	907
उन@@को	906
प@@वि@@त्रा	887
हो@@कर	876
बा@@त	869
बा@@ते@@ं	868
तु@@झ	864
उस@@ी	855
हो@@गा	847
म@@ू@@सा	845
