s@@	49107
og	42503
m@@	32183
l@@	32166
a	31825
n@@	31036
g@@	30705
f@@	26330
k@@	25557
r@@	25346
t@@	25303
u	24443
ð@@	23322
að	22972
b@@	21977
e@@	20719
h@@	20522
d@@	20131
um	19301
a@@	18117
v@@	18023
t	16991
þ@@	16984
i@@	15763
æ@@	15667
er	15581
s	15549
j@@	15507
á	15118
in@@	14901
ar@@	14825
ó@@	14499
i	14120
í	14093
st@@	13756
ið	13581
á@@	13252
ú@@	13145
hann	12933
n	12829
an@@	12536
ir	12408
inn	11555
í@@	11511
sk@@	11487
ar	11409
u@@	11292
p@@	11281
er@@	10490
sem	10327
til	10137
ur	10025
al@@	9592
ö@@	9501
o@@	9364
þá	8802
tt@@	8575
ég	8255
na	8027
ði	7976
y@@	7580
ei@@	7460
se@@	7405
or@@	7300
un@@	7160
ð	7146
ni	7046
en	6981
all@@	6974
ur@@	6784
el@@	6535
þeir	6466
þú	6351
r	6227
því	6143
an	6116
af	6034
við	6006
g	5999
ver@@	5956
ý@@	5850
þér	5712
st	5696
ður	5670
m	5598
di	5564
eg@@	5491
mi@@	5442
ekki	5253
fyrir	5082
é@@	5072
ða	4942
jó@@	4927
da@@	4867
það	4818
ll@@	4784
tt	4714
l	4664
með	4508
ta	4479
en@@	4451
vi@@	4448
ðu	4306
ey@@	4237
au@@	4212
ins	4118
k	4110
hans	4108
ti	4104
hv@@	4091
gj@@	4030
nar	4020
haf@@	4001
gjör@@	3946
ál@@	3920
drottinn	3870
þe@@	3856
ín@@	3838
drott@@	3809
lí@@	3761
af@@	3726
br@@	3662
að@@	3612
gu@@	3605
d	3577
fó@@	3576
in	3564
ér	3532
ig	3523
þeim	3505
ör@@	3421
sa@@	3398
var	3365
li@@	3335
nir	3334
sí@@	3255
da	3235
ein@@	3179
ann@@	3161
svo	3159
ja	3153
ra@@	3135
frá	3112
sj@@	3094
tur	3085
f	3056
yr@@	3021
dr@@	2981
eng@@	2970
ra	2914
ir@@	2904
dur	2903
hú@@	2898
leg@@	2892
þess	2868
lei@@	2839
on@@	2799
honum	2787
þeirra	2783
ðin@@	2759
lan@@	2759
ef@@	2693
ðar	2691
lá@@	2672
kom@@	2667
mun	2663
ri	2658
on	2647
ga	2647
hei@@	2645
ú	2641
sv@@	2612
ísra@@	2603
sam@@	2573
sagði	2572
uð	2560
hj@@	2548
am@@	2528
gar	2515
vor@@	2511
guð	2497
yður	2488
eigi	2488
mó@@	2471
kk@@	2461
fra@@	2461
mun@@	2446
aði	2442
menn	2439
fr@@	2437
ast	2435
þjó@@	2428
ri@@	2420
konung@@	2402
ul@@	2361
hen@@	2353
ví@@	2346
hel@@	2314
ínum	2284
yn@@	2258
læ@@	2252
ög@@	2249
skal	2240
mér	2238
hefir	2238
höf@@	2224
hr@@	2219
upp	2195
ak@@	2181
yfir	2172
far@@	2144
hver@@	2132
öl@@	2129
el	2119
num	2114
eins	2114
ag@@	2099
und@@	2096
þess@@	2088
ug@@	2086
he@@	2084
eftir	2062
tí@@	2052
hef@@	1977
ko@@	1937
me@@	1806
gi	1739
kon@@	1730
han@@	1725
é	1617
ti@@	1487
ó	1337
ung@@	1331
ís@@	1279
hö@@	1238
e	1219
fyr@@	1212
al	1045
b	891
ekk@@	865
mu@@	811
up@@	799
tir	776
'	775
x@@	651
men@@	651
ö	580
p	572
yf@@	543
sag@@	511
-@@	393
ví	371
x	233
ott@@	222
o	209
þeir@@	200
0	190
ä@@	184
0@@	179
onum	163
æ	157
ý	114
2@@	88
ä	75
1@@	71
5@@	68
3@@	67
4@@	55
2	55
6@@	47
-	47
5	41
y	39
7@@	39
4	25
3	25
'@@	24
8	23
6	23
1	23
7	19
z@@	13
9@@	11
8@@	11
þei@@	9
z	8
/@@	7
9	4
�	3
/	2
–	1
þ	1
j	1
h	1
*@@	1
*	1
