e	53514
i	38455
a	32764
e@@	28190
i@@	27785
t@@	27295
c@@	26646
di	24365
f@@	23758
s@@	23472
o	23188
o@@	21619
a@@	20997
r@@	19965
b@@	19722
m@@	19496
il	19187
er@@	18847
d@@	18811
g@@	18386
es@@	17853
to	17726
l@@	16730
en@@	16701
u@@	16015
la	15473
p@@	15351
an@@	15330
v@@	13663
che	13365
ti	12875
di@@	12633
in@@	12618
le	12551
te	12376
ri@@	12218
qu@@	11686
ar@@	11471
ci@@	11094
or@@	10958
co@@	10564
n@@	10509
am@@	10212
av@@	9755
si	9683
tr@@	9386
ò	9274
non	9044
on@@	8770
as@@	8746
per	8491
lo	8359
in	8147
al@@	8117
at@@	8068
ta	8045
su@@	7973
ato	7756
io	7635
à	7620
po@@	7579
signore	7480
gi@@	7439
se	7348
gli	7312
ia	7299
re	7274
'@@	7260
se@@	7171
con@@	7171
pr@@	7163
è	7142
pi@@	7118
ano	6982
del	6947
st@@	6607
ai	6511
da	6363
z@@	6320
ac@@	6120
al	6110
un@@	6046
si@@	5931
vi@@	5918
all@@	5663
de@@	5578
are	5545
tu@@	5313
ti@@	5307
un	5289
con	5269
str@@	5263
loro	5170
do@@	5091
ter@@	4963
h@@	4959
ab@@	4869
gn@@	4830
par@@	4787
em@@	4771
pa@@	4760
l'@@	4684
uo@@	4667
no@@	4663
ne@@	4532
vo@@	4477
so	4449
re@@	4435
dio	4424
ma	4386
anno	4374
u	4364
za	4296
one	4250
zi@@	4145
ra	4123
li	4118
ser@@	4072
me	4063
ca@@	3977
ell@@	3947
per@@	3934
and@@	3867
ques@@	3851
tà	3843
so@@	3815
do	3787
li@@	3770
perché	3753
ec@@	3739
lla	3664
mo@@	3629
ora	3573
mi@@	3532
tto	3523
come	3506
mi	3505
ver@@	3468
dei	3446
ne	3444
della	3432
fi@@	3427
ll@@	3411
pro@@	3385
gl@@	3337
ven@@	3330
gu@@	3295
co	3287
giu@@	3243
de	3235
alla	3222
ì	3139
vi	3113
tut@@	3113
sc@@	3105
ù	3086
chi	3081
no	3073
sa	2985
tro	2979
una	2897
sar@@	2888
min@@	2876
sono	2851
ha	2841
ore	2834
le@@	2811
oi	2796
cu@@	2788
mo	2782
chi@@	2755
ando	2701
sal@@	2677
der@@	2677
n	2665
ci	2661
l	2659
d	2658
ono	2647
dell@@	2628
nel	2623
du@@	2610
me@@	2595
israe@@	2584
man@@	2551
dav@@	2531
ati	2505
ra@@	2498
ev@@	2474
ch@@	2462
po	2460
pe@@	2441
suo	2439
ce	2421
ese	2353
gg@@	2315
com@@	2315
figlio	2305
egli	2298
r	2294
ten@@	2290
era	2286
ate	2271
gior@@	2266
zz@@	2262
ete	2261
disse	2260
por@@	2247
fat@@	2239
ino	2220
oc@@	2215
tutti	2208
tor@@	2182
anti	2178
sa@@	2170
men@@	2131
sua	2128
mio	2121
voi	2096
popo@@	2051
eva	2041
lui	2033
figli	2002
dis@@	1997
sac@@	1985
arono	1985
ris@@	1983
tuo	1974
is@@	1971
à@@	1662
m	1461
ché	1190
é	1147
t	934
ò@@	916
oro	915
k@@	811
b	793
-@@	764
è@@	753
lu@@	725
figl@@	543
s	482
h	460
ì@@	442
'	383
z	235
k	223
sign@@	197
ù@@	121
g	98
f	92
c	46
-	30
1@@	21
2@@	19
7@@	18
6@@	18
5@@	18
4@@	18
3@@	18
q@@	13
8@@	10
j@@	9
9@@	8
0@@	8
v	7
é@@	6
’@@	5
p	5
’	2
6	2
0	1
