un	8631
s	7312
u	6856
t@@	5576
s@@	5551
i	5106
d@@	5101
r@@	5042
l@@	5029
a	4791
m@@	4760
k@@	4754
n@@	4701
ā	4276
e@@	4269
ne@@	4268
t	3748
i@@	3724
j@@	3689
ja	3634
a@@	3592
pa@@	3581
ie@@	3488
v@@	3428
st@@	3249
g@@	3202
š@@	3201
ī@@	3200
o@@	3107
at@@	3086
ā@@	3075
p@@	3029
b@@	3018
z@@	2915
ē@@	2899
c@@	2852
bet	2807
kas	2727
u@@	2724
as	2573
es	2502
iem	2439
au@@	2399
sa@@	2373
tu	2277
m	2267
us	2065
ai@@	2051
ka	2046
nā@@	2043
viņš	2025
dz@@	2000
ti@@	1996
am	1990
no@@	1905
pr@@	1901
no	1845
al@@	1771
ņ@@	1768
is	1682
ir	1642
iz@@	1583
dē@@	1492
to	1487
tā@@	1416
lai	1395
jūs	1393
jo	1382
ir@@	1378
sav@@	1347
os	1326
vis@@	1325
īg@@	1322
tas	1304
kā	1301
ies	1299
vē@@	1266
ās	1261
ļ@@	1245
ar@@	1236
te@@	1212
mā@@	1196
de@@	1195
ū@@	1194
pie@@	1183
ts	1135
iet	1127
ar	1123
viņu	1122
ku@@	1120
ap@@	1120
sacīja	1112
tā	1090
iek@@	1088
tad	1061
īb@@	1053
k	1049
lie@@	1018
rā@@	1014
gā@@	1005
jums	1004
inā@@	1002
bija	1002
in@@	999
kā@@	979
ra@@	956
ko	947
ce@@	947
par	941
re@@	936
vi@@	932
ž@@	931
r	927
tie	916
dar@@	899
vien@@	883
uz@@	882
kl@@	880
viņa	879
ms	868
dī@@	865
ai	858
na@@	833
se@@	831
diev@@	828
v	822
ju	815
li@@	807
jā@@	805
tu@@	798
ī	795
em@@	794
jū@@	791
ši	790
do@@	785
man@@	780
bū@@	778
viņam	776
sm@@	764
pie	763
be@@	763
šan@@	760
su	760
n	756
arī	743
kung@@	741
ti	737
ma@@	736
lū@@	732
ve@@	726
dieva	726
jēzus	720
viņ@@	712
tiem	707
me@@	704
aiz@@	701
gr@@	699
mū@@	698
lī@@	698
ju@@	697
krist@@	695
dams	679
ta@@	674
die@@	673
vai	664
vie@@	662
pil@@	662
ku	660
pēc	657
ro@@	655
ko@@	653
ks	651
ķ@@	650
ru@@	650
pē@@	641
o	634
ka@@	634
dzē@@	631
mēs	629
tē@@	616
kad	610
jis	610
ta	606
kļ@@	604
sau@@	597
mu@@	595
vi	594
dam@@	594
vārd@@	582
cī@@	582
ļau@@	580
dz	580
cilvē@@	568
viņi	564
da	563
ību	554
sl@@	554
il@@	554
cīb@@	554
pār@@	553
cē@@	549
si	547
dinā@@	547
ības	546
svē@@	545
an@@	538
aug@@	536
tī@@	531
rī@@	529
ties@@	528
va	525
jās	520
gar@@	520
lab@@	518
uz	515
stā@@	514
ē	511
sacī@@	511
ne	507
ār@@	495
sī@@	495
ca	495
bē@@	488
sē@@	485
vai@@	484
dzīv@@	481
mani	479
go@@	479
ļ	461
l	458
ies@@	454
mē@@	448
ģ@@	434
ri@@	422
e	417
da@@	392
la@@	334
f@@	314
z	289
j	285
h@@	277
ie	273
bi@@	273
d	261
jēz@@	253
p	237
š	190
ū	188
c	183
ad	164
č@@	161
1@@	159
jē@@	142
dzī@@	128
cil@@	105
kri@@	103
1	76
2@@	69
2	68
g	60
ārd@@	55
5	52
b	51
3	47
8	42
9	37
7	37
6	35
ņ	33
4	32
ž	31
0	29
-@@	25
3@@	22
4@@	20
5@@	12
6@@	11
0@@	10
’	9
‘@@	9
ng@@	7
f	5
9@@	4
8@@	3
7@@	3
-	3
h	2
=	1
/@@	1
