og	48972
g@@	31307
s@@	30631
t@@	26697
er	26289
i	25666
n@@	24396
l@@	23876
k@@	23504
f@@	22115
de	21744
e@@	19716
m@@	19642
b@@	19332
o@@	19260
i@@	18819
v@@	18758
en	18476
a@@	18147
d	17166
til	16618
st@@	16531
r@@	16246
d@@	16174
s	15845
som	15841
n	15495
et	15284
en@@	15186
det	14590
u@@	14385
for	13292
p@@	13063
h@@	12776
el@@	12455
den	11412
er@@	11375
han	11334
t	11231
j@@	10635
e	10625
te	10560
skal	10195
in@@	9413
å@@	9278
re@@	9221
y@@	9163
an@@	9145
tt	9064
sk@@	9048
ø@@	8921
jeg	8906
ikke	8905
av	8878
re	8361
å	8080
så	7874
på	7751
de@@	7632
le@@	7309
da	7145
li@@	7067
med	7026
g	7016
or@@	6831
ge	6622
har	6436
r	6320
dem	6242
du	6169
sa@@	6127
ham	6004
k	6001
der	5906
vi@@	5822
ne	5731
ar@@	5684
ene	5632
mm@@	5548
m	5528
men	5460
a	5434
es	5393
da@@	5371
un@@	5360
hv@@	5271
var	5100
for@@	5088
herren	5085
ør@@	5052
ine	4875
dig	4797
al@@	4743
se	4665
år	4586
der@@	4584
sa	4551
gj@@	4546
gen	4503
si@@	4444
mig	4357
tt@@	4336
hu@@	4306
fra	4304
ter	4153
lan@@	4122
di@@	4077
ti@@	3954
hans	3935
om	3931
l	3888
at	3872
ger	3863
sig	3755
dt	3685
el	3678
sy@@	3561
ra@@	3487
enn@@	3482
v	3479
gud	3468
alle	3450
ho@@	3436
be@@	3399
ik@@	3391
fol@@	3357
ha@@	3311
ler	3297
kon@@	3281
br@@	3271
ak@@	3264
vil	3192
je@@	3177
se@@	3132
dr@@	3109
over	3108
eder	3088
æ@@	3037
ul@@	3037
hel@@	3033
ba@@	3015
mi@@	2985
o	2971
u	2904
tr@@	2874
fr@@	2833
mot	2822
gu@@	2811
ved	2796
ri@@	2781
la@@	2741
hadde	2733
man@@	2724
komm@@	2711
dre	2705
sin	2685
din	2678
min	2654
ke	2616
gjø@@	2610
alt	2600
jer@@	2598
hø@@	2596
bar@@	2596
ån@@	2559
ka@@	2544
ve@@	2528
ste	2485
*	2485
ort	2463
ed	2463
by@@	2424
ig	2407
or	2372
lo@@	2367
ende	2364
ten	2363
op	2363
av@@	2360
ut	2338
ens	2330
mo@@	2329
no@@	2309
st	2305
til@@	2281
ar	2236
get	2235
sv@@	2223
fe@@	2201
het	2194
ær@@	2192
ner	2186
kom	2142
ikk	2142
op@@	2138
blev	2131
he@@	2130
sønn	2124
vi	2053
fre@@	2052
ere	2030
fø@@	2016
des	1998
dette	1984
efter	1983
ds	1966
jor@@	1954
tte	1951
deres	1940
nin@@	1933
yk@@	1921
om@@	1918
israels	1910
herrens	1907
her@@	1884
sier	1880
ska@@	1878
dø@@	1867
ns	1859
la	1853
sal@@	1849
lø@@	1848
jen@@	1843
være	1826
us	1822
tal@@	1785
ov@@	1705
fo@@	1631
søn@@	1589
le	1437
p	1305
-@@	1288
'@@	1279
ko@@	1267
/	1230
sø@@	1095
isra@@	1006
b	954
dde	899
ære	844
is@@	810
ef@@	801
res	548
1@@	545
y	537
2@@	392
'	383
els	363
*@@	339
f	310
é@@	294
ø	292
1	232
h	222
2	190
4	175
3	165
5	162
8	145
7	137
9	133
6	123
3@@	123
0	108
c@@	98
ó@@	96
4@@	92
herr@@	74
æ	72
5@@	64
-	54
x@@	34
ble@@	24
ô@@	11
6@@	10
8@@	9
7@@	9
z	8
0@@	7
¥@@	6
ã@@	4
z@@	4
j	3
̧@@	2
ò@@	2
ë	2
ã	2
9@@	2
ë@@	1
è@@	1
è	1
¦@@	1
