и	58626
и@@	27922
е	24108
в	22324
д@@	21770
у@@	21644
по@@	19915
й	19888
м	19553
в@@	19449
с@@	18563
е@@	18030
л	17202
т	16990
о@@	16872
ни@@	15965
я	15553
р@@	15475
к@@	15450
ст@@	14954
ли	14778
на@@	13819
его	13769
ю	13098
а@@	13037
ва@@	12911
на	12799
ве@@	12725
ре@@	12716
ро@@	12700
г@@	12595
т@@	12354
де@@	12207
не	12175
а	11960
ле@@	11855
ра@@	11828
я@@	11787
у	11478
не@@	11278
мо@@	11144
н@@	10878
во@@	10597
до@@	10169
ви@@	9823
но@@	9793
ко@@	9689
ть	9588
х	9524
м@@	9367
л@@	9218
б@@	9135
з@@	9104
ме@@	9068
се@@	8918
бо@@	8862
да@@	8856
го@@	8820
то@@	8690
ло@@	8557
с	8447
их	8389
ла@@	8276
ли@@	8203
ш@@	7709
х@@	7597
к	7252
ж@@	7180
н	6909
со@@	6900
о	6900
те@@	6590
п@@	6568
ру@@	6532
же@@	6370
д	6320
при@@	6269
за@@	6249
ми	6165
й@@	5992
но	5904
тво@@	5846
ди@@	5724
то	5720
ста@@	5608
ы	5577
от@@	5548
да	5535
са@@	5526
го	5447
жи@@	5418
си@@	5373
ы@@	5289
что	5241
че@@	5238
ч@@	5187
сво@@	5182
он	5163
ны@@	5100
про@@	5062
вы@@	4960
пре@@	4922
ка@@	4885
ц@@	4828
бы@@	4803
те	4737
ль@@	4707
ь	4696
щ@@	4584
ф@@	4467
ь@@	4305
ю@@	4289
ри@@	4242
от	4169
му	4069
пе@@	4066
ду@@	4012
ти@@	3980
ла	3946
хо@@	3943
бе@@	3911
из	3794
им	3780
во	3605
как	3559
сы@@	3533
ты	3525
же	3506
сказал	3480
господь	3474
ма@@	3390
ск@@	3328
ва	3311
па@@	3296
та@@	3274
ча@@	3232
сто@@	3220
сь	3207
чи@@	3190
цар@@	3186
ны	3153
ние	3133
воз@@	3133
су@@	3130
бу@@	3077
которы@@	3070
ми@@	3060
ше@@	3054
ши@@	3035
вы	3033
зем@@	3026
сть	3007
тся	2981
все@@	2968
ни	2894
ет	2889
г	2882
об@@	2850
ибо	2816
они	2798
ния	2797
ду	2795
ему	2778
наро@@	2752
вер@@	2703
господ@@	2701
все	2688
ло	2648
ще@@	2639
израи@@	2607
пу@@	2594
э@@	2592
по	2564
раз@@	2561
ся	2552
нь	2552
говори@@	2525
ша@@	2522
ля@@	2521
пи@@	2505
–	2493
ки	2457
за	2398
ско@@	2362
ем	2313
сти@@	2306
чтобы	2280
щи@@	2278
так	2260
из@@	2259
га@@	2228
свя@@	2213
будет	2208
меня	2202
1@@	2188
ка	2176
шь	2167
ть@@	2159
лю@@	2159
сло@@	2153
ня@@	2117
когда	2101
ца@@	2100
ты@@	2053
лся	2013
зна@@	2012
ся@@	1987
для	1987
госпо@@	1963
ма	1959
ле	1949
би@@	1945
ес@@	1922
бра@@	1896
ца	1895
му@@	1887
пра@@	1866
ну	1854
жа@@	1848
тебя	1818
мне	1809
ди	1808
ну@@	1804
кото@@	1799
р	1795
мно@@	1752
слу@@	1751
лись	1744
сдела@@	1735
ри	1732
челове@@	1720
ти	1718
сыно@@	1714
шел	1705
сл@@	1629
бы	1535
вс@@	1497
теб@@	1432
ры@@	1427
ска@@	1422
гово@@	1276
дела@@	1213
ц	1210
сказа@@	1179
спо@@	1143
з	1133
ля	1094
гда	1037
дет	1021
ня	986
б	922
„@@	921
-@@	766
8	674
зе@@	638
4	624
3	594
7	592
ф	587
1	569
2@@	557
5	536
ч	520
3@@	514
6	512
2	498
что@@	460
ш	444
0	429
9	424
вя@@	404
4@@	377
ъ@@	353
0@@	298
бо	283
7@@	267
ж	202
6@@	197
8@@	195
5@@	181
9@@	131
п	110
раи@@	50
щ	37
–@@	24
-	15
„	1
э	1
лове@@	1
