in	47767
je	30490
v	23773
s@@	22791
m	22437
u@@	21214
l	20962
po@@	20275
r@@	17714
v@@	16521
na@@	16493
o@@	15856
re@@	15598
n@@	15494
ga	15481
ni@@	15075
a@@	14934
ne	13890
z@@	13605
e@@	13595
a	13491
za@@	13382
li	13276
u	13169
b@@	13139
ve@@	12897
i@@	12778
o	12743
mo@@	12662
k@@	12656
j	12618
g@@	12574
h@@	12547
te@@	12529
se	12218
t@@	12204
ra@@	12049
se@@	11842
jo	11714
je@@	11677
l@@	11547
da	11512
d@@	11504
de@@	11375
š@@	11317
ki	11259
st@@	11139
na	11030
j@@	10891
da@@	10875
ne@@	10788
va@@	10642
ov@@	10260
li@@	9883
od@@	9652
m@@	9598
p@@	9454
le@@	9199
la@@	9129
me@@	9117
i	9085
so	9054
ž@@	9026
bo@@	8988
ti	8893
ni	8819
ri@@	8797
ko@@	8637
e	8520
n	8348
pri@@	8188
ko	8070
ro@@	8021
č@@	8007
bi@@	7742
vi@@	7717
te	7636
ka@@	7486
h	7469
do@@	7401
s	7337
no@@	6953
r	6946
si@@	6925
ja	6733
ja@@	6694
la	6682
lj@@	6510
pa	6387
k	6366
pre@@	6309
sa@@	6289
z	6251
mi	6163
mu	6042
ri	5936
no	5890
lo	5751
ti@@	5674
pe@@	5628
č	5519
če@@	5511
be@@	5439
ma@@	5283
t	5203
kra@@	5059
lo@@	4897
to	4745
jih	4704
iz@@	4691
nje@@	4671
ze@@	4495
sem	4466
ru@@	4443
si	4424
za	4397
ta	4369
gospod	4355
to@@	4300
d	4252
go@@	4251
po	4221
ob@@	4100
njegov@@	4072
bi	4064
či@@	4040
bod@@	4036
svo@@	3964
ži@@	3901
lje@@	3867
ali	3867
sto@@	3799
mi@@	3727
jim	3666
di@@	3649
pa@@	3613
tvo@@	3583
vi	3580
govo@@	3521
iz	3444
lov@@	3442
sti	3407
ji	3332
od	3331
ta@@	3328
vo@@	3300
nov@@	3299
če	3295
sta@@	3292
ih	3278
me	3273
š	3249
kakor	3202
pra@@	3193
ča@@	3188
pi@@	3117
do	3116
naj	3083
pro@@	3073
še@@	2994
vo	2979
sk@@	2977
že@@	2976
mo	2934
hi@@	2871
st	2861
bo	2816
njih	2813
du@@	2798
nje	2767
de	2756
ga@@	2754
izrae@@	2719
bil	2704
di	2676
rod@@	2669
re	2665
va	2620
c@@	2601
kaj	2564
raz@@	2555
reče	2529
ji@@	2499
ce@@	2484
svoje@@	2452
ce	2408
tudi	2395
gospod@@	2377
ša@@	2358
ha@@	2357
jo@@	2346
gle@@	2337
ka	2316
ke	2309
vse	2220
še	2212
pravi@@	2212
sve@@	2203
ju	2198
ljudst@@	2167
ke@@	2140
so@@	2118
ci	2114
či	2109
f@@	2094
ve	2092
daj	2079
le	2060
vr@@	2032
ma	2014
oče@@	1967
ž	1960
ste	1948
gi@@	1948
kajti	1929
pred	1925
ter	1921
gospo@@	1910
ca	1902
tr@@	1890
sa	1881
bog	1879
ši	1873
lu@@	1869
svoje	1851
ši@@	1840
deže@@	1835
zo@@	1827
ker	1822
med	1800
kar	1782
posta@@	1781
tako	1762
kri@@	1762
zi@@	1746
mest@@	1746
gla@@	1745
ud@@	1678
b	1620
c	1532
spo@@	1469
g	759
gov@@	579
é	455
„@@	377
–	348
udi	320
-@@	309
p	305
ó@@	223
á	185
ljud@@	163
f	146
kor	103
é@@	94
kaj@@	79
ú	58
‚@@	51
‘	51
í@@	45
ó	44
ú@@	40
í	24
izra@@	16
á@@	15
2@@	14
2	13
4	9
1@@	9
1	9
4@@	8
–@@	7
5@@	6
5	5
—@@	4
3	4
0	4
-	4
6	3
—	2
7	2
*	2
9	1
8	1
0@@	1
