och	41614
i	18384
till	13969
som	12067
han	11192
att	10686
de	10648
jag	8914
det	8177
skall	7865
en	7508
så	7488
på	7444
icke	7298
den	7204
för	7095
är	6824
med	6516
av	6385
du	6326
har	6109
dem	5912
honom	5847
herren	5381
då	5367
men	4828
mig	4436
dig	4167
sig	4162
sade	3977
om	3888
hade	3712
eder	3690
hans	3671
var	3496
ty	3451
när	3231
sin	2955
alla	2939
gud	2911
såsom	2736
ett	2735
från	2705
din	2665
nu	2657
min	2639
åt	2622
upp	2575
vad	2567
över	2445
man	2353
skola	2204
de@@tta	2103
ha@@va	2093
d@@är	2053
v@@i	2006
s@@on	1935
efter	1929
de@@ra@@s	1911
s@@ina	1868
herr@@ens	1850
mot	1847
vid	1835
all@@t	1797
ut	1746
se	1685
bar@@n	1667
o@@ss	1612
e@@ller	1591
isra@@el@@s	1537
oc@@k	1536
var@@a	1472
hu@@s	1462
sä@@ger	1458
mi@@tt	1451
m@@å	1409
d@@ina	1391
sku@@ll@@e	1384
är@@o	1379
g@@en@@om	1365
gö@@ra	1334
fol@@k	1325
vi@@ll	1323
bli@@va	1315
si@@tt	1308
komm@@a	1302
ja	1274
land	1267
s@@ed@@an	1245
f@@ra@@m	1245
någ@@on	1213
ut@@an	1212
v@@or@@o	1195
g@@å	1192
h@@on	1172
de@@ss	1163
konun@@gen	1162
de@@s@@sa	1132
k@@om	1126
där@@för	1097
ne@@d	1085
di@@tt	1069
m@@ina	1055
f@@å	1048
u@@r	1046
skol@@en	1046
h@@el@@a	1046
gu@@d@@s	1042
konun@@g	1040
b@@or@@t	1034
fol@@k@@et	1023
in@@för	1016
un@@der	1013
in@@gen	1003
i@@från	997
an@@d@@ra	988
in	984
or@@d	982
herr@@e	973
han@@d	971
s@@var@@ade	969
isra@@el	968
b@@le@@v	950
b@@land	903
s@@ö@@n@@er	887
någ@@o@@t	881
da@@vid	879
gi@@c@@k	870
da@@g	870
t@@j@@än@@are	835
gi@@va	832
j@@e@@s@@u@@s	807
komm@@er	802
bli@@vi@@t	801
hu@@r@@u	792
ju@@da	791
k@@an	785
g@@jor@@de	781
ä@@n	780
j@@u	774
h@@en@@n@@e	774
m@@ä@@n	763
ed@@ra	763
jor@@den	758
e@@j	757
m@@er	751
sä@@ga	731
fa@@der	719
mo@@se	717
na@@m@@n	713
ti@@d	699
de@@n@@na	699
g@@jor@@t	696
j@@er@@u@@sa@@le@@m	684
t@@v@@å	676
sj@@äl@@v	668
h@@o@@s	657
v@@år	644
f@@år	642
till@@ba@@ka	634
där@@efter	626
da@@gen	623
l@@å@@ta	622
ha@@v@@en	618
ö@@g@@on	611
än@@nu	605
de@@n@@n@@e	604
lä@@t	600
g@@av	600
t@@o@@g	599
oc@@k@@så	596
lan@@det	589
in@@t@@et	589
h@@un@@d@@ra	586
ta@@ga	571
år	567
gö@@r	566
å@@ter	559
komm@@i@@t	556
'	552
ef@@t@@er@@som	543
h@@är	529
vä@@l	527
bli@@v@@er	527
hö@@ra	519
t@@u@@s@@en	518
å@@sta@@d	512
m@@ån@@ga	495
e@@mot	492
än@@da	490
br@@ö@@der	485
f@@i@@c@@k	484
an@@si@@k@@te	482
k@@un@@na	480
om@@k@@r@@ing	475
ta@@l@@ade	469
l@@åt	469
st@@å	468
sku@@ll	468
h@@j@@är@@ta	467
komm@@o	463
h@@i@@m@@me@@l@@en	463
d@@oc@@k	463
sta@@den	461
ta@@l@@a	454
ä@@ta	452
li@@v	449
m@@y@@ck@@et	443
h@@å@@ll@@a	433
tr@@e	430
st@@or	429
så@@g	428
da@@g@@ar	426
m@@å@@st@@e	425
k@@var	422
sj@@u	419
v@@e@@m	417
för@@de	417
g@@år	415
sa@@gt	411
all@@en@@a@@st	410
rä@@tt	409
h@@en@@ne@@s	408
vä@@g	406
st@@or@@a	404
gi@@vi@@t	399
an@@de	397
hu@@st@@r@@u	393
var@@e	384
va@@tt@@en	376
v@@å@@ra	376
var@@för	372
sa@@mm@@a	372
vi@@l@@k@@en	371
f@@in@@ne@@s	369
hö@@r@@de	367
he@@ller	364
st@@ä@@der	358
b@@å@@de	358
s@@än@@de	357
p@@rä@@st@@en	352
gu@@l@@d	352
vi@@ll@@e	350
hö@@r	348
b@@o	347
vi@@l@@ja	346
st@@o@@d	343
sj@@äl@@va	343
n@@å@@d	343
di@@t	338
k@@un@@de	336
el@@d	334
g@@o@@tt	332
m@@änn@@i@@sk@@or	329
för@@a	327
var@@i@@t	324
e@@g@@y@@p@@ten	324
b@@le@@v@@o	320
r@@ö@@st	318
k@@ri@@st@@u@@s	317
g@@ing@@o	316
dö@@da	316
a@@ll	316
b@@ro@@der	315
sta@@d	314
s@@v@@är@@d	313
n@@ä@@m@@li@@gen	313
sa@@u@@l	310
vi@@l@@ka	309
p@@la@@t@@s	304
f@@ra@@m@@för	304
konun@@g@@ens	302
v@@e@@ta	301
ja@@ko@@b	300
fö@@d@@de	300
f@@ä@@der	300
he@@li@@ga	293
gi@@v@@er	293
b@@lo@@d	292
b@@u@@d	290
si@@d@@an	289
on@@t	289
sa@@tt@@e	288
ti@@den	286
f@@å@@tt	286
an@@n@@an	284
tr@@o	282
m@@u@@n	282
vi@@d@@are	281
j@@ä@@m@@te	279
all@@t@@så	279
m@@an@@n@@en	275
d@@ra@@ga	275
frå@@g@@ade	274
e@@g@@y@@p@@t@@ens	272
v@@r@@e@@de	270
ne@@j	270
h@@än@@der	270
b@@å@@da	270
b@@är@@a	270
så@@d@@an@@t	268
sj@@ä@@l	268
me@@d@@an	265
ha@@v@@et	263
on@@da	261
le@@va	260
var@@an@@d@@ra	259
sä@@tt	258
d@@ö	258
v@@et	255
vä@@gen	253
f@@y@@ra	253
ar@@on	252
f@@e@@m	251
d@@ro@@g	251
v@@än@@de	249
ta@@la@@t	249
l@@ade	248
k@@lä@@der	247
un@@d@@an	246
ö@@k@@n@@en	245
så@@d@@an	245
da@@vi@@d@@s	245
ar@@v@@e@@de@@l	244
är@@a	243
st@@år	243
bar@@n@@s	243
se@@ba@@o@@t	241
m@@a@@k@@t	241
l@@å@@ti@@t	241
sa@@lo@@m@@o	240
rä@@tt@@f@@är@@di@@g@@h@@et	240
någ@@ra	240
mo@@der	240
tr@@on	239
d@@o@@tt@@er	237
till@@sa@@mm@@an@@s	236
sta@@m	236
k@@ra@@f@@t	236
v@@än@@da	235
g@@är@@n@@ing@@ar	235
-	234
si@@l@@v@@er	233
r@@un@@t	233
li@@ka@@som	233
sä@@g	231
br@@ö@@d	231
är@@en	230
b@@ju@@di@@t	230
m@@änn@@i@@sk@@a	229
hu@@v@@u@@d	229
me@@ll@@an	228
a@@l@@n@@ar	228
p@@rä@@st@@er@@na	227
dö@@tt@@r@@ar	227
l@@än@@g@@e	226
där@@av	226
sä@@tta	225
b@@o@@d@@de	224
la@@g	220
var@@t	216
i@@gen	216
fa@@der@@s	216
r@@ed@@an	215
li@@k	215
b@@er@@g	215
sa@@tt	214
ro@@p@@ade	213
en@@a	213
ti@@o	211
of@@fr@@a	211
lä@@g@@ga	211
där@@till	210
j@@o@@s@@u@@a	209
äl@@d@@st@@e	208
l@@å@@ter	208
k@@ö@@tt	208
g@@å@@tt	208
h@@j@@är@@t@@an	207
d@@r@@ick@@a	207
na@@tt@@en	206
för@@b@@un@@d	206
fö@@tt@@er	206
g@@ån@@g	205
där@@i@@från	205
ba@@be@@l	205
h@@är@@li@@g@@h@@et	204
f@@ing@@o	203
där@@på	203
dö@@den	202
s@@lä@@k@@te	201
s@@y@@n@@d	200
a@@l@@t@@ar@@et	200
f@@ar@@a@@o	198
gu@@d@@ar	197
för@@st@@a	197
dö@@d	197
m@@å@@na@@den	196
k@@v@@in@@na	196
hö@@r@@t	195
fr@@u@@k@@t	195
ri@@k@@e	194
jor@@de@@n@@s	194
hu@@s@@et	194
h@@i@@t	194
fol@@k@@en	194
e@@der@@t	194
he@@m	193
k@@all@@ade	192
g@@o@@da	192
sä@@d	190
s@@er	189
s@@ett	188
