o@@g	36291
i	17322
t@@i@@l	14297
de	9985
ha@@n	9883
s@@om	9109
a@@t	8945
de@@t	8258
f@@o@@r	8211
j@@e@@g	8178
er	8169
den	7337
a@@f	7013
i@@kk@@e	6945
ska@@l	6670
p@@å	6141
m@@e@@d	5988
m@@en	5968
en	5791
de@@m	5611
der	5556
ha@@m	5504
d@@u	5454
d@@a	5223
s@@å	5139
her@@ren	4893
m@@ig	4194
fr@@a	4185
ha@@r	4101
dig	3967
s@@ig	3757
h@@an@@s	3661
va@@r	3654
sa@@g@@de	3650
t@@h@@i	3474
ve@@d	3363
a@@l@@le	2988
g@@u@@d	2883
e@@der	2830
de@@re@@s	2783
d@@i@@n	2599
o@@ver	2568
om	2424
m@@i@@n	2424
et	2240
ha@@v@@de	2194
vi@@l	2158
h@@va@@d	2073
s@@ø@@n	1937
s@@i@@n	1924
v@@i	1854
e@@f@@t@@er	1759
k@@om	1752
her@@re@@n@@s	1734
o@@p	1691
s@@e	1546
nå@@r	1518
her@@re	1517
o@@s	1509
s@@ig@@er	1507
u@@d	1475
bl@@e@@v	1459
e@@der@@s	1444
d@@a@@g	1415
vær@@e	1410
e@@l@@l@@er	1388
f@@o@@l@@k	1360
h@@u@@s	1271
a@@l@@t	1239
d@@in@@e	1230
n@@u	1220
gud@@s	1201
m@@i@@t	1191
o@@g@@s@@å	1173
k@@a@@n	1157
d@@i@@t	1140
hel@@e	1127
or@@d	1125
de@@tt@@e	1116
mo@@d	1073
m@@å	1070
s@@å@@l@@e@@des	1069
gi@@k	1048
is@@ra@@e@@l@@s	993
s@@ø@@n@@ner	976
l@@an@@d	976
ha@@ve	953
h@@v@@o@@r	940
m@@an@@d	923
is@@ra@@e@@l	917
h@@u@@n	914
i@@mo@@d	913
g@@å	910
he@@n	904
der@@f@@o@@r	903
e@@j	900
s@@i@@t	892
k@@o@@mm@@er	870
h@@ån@@d	854
m@@in@@e	850
se@@l@@v	849
in@@d	844
b@@or@@t	844
ne@@d	819
k@@o@@n@@gen	800
d@@a@@vi@@d	795
in@@gen	793
mo@@se@@s	783
s@@in@@e	782
g@@ø@@re	781
j@@e@@s@@u@@s	776
ho@@s	774
s@@va@@re@@de	773
jor@@den	763
den@@ne	761
b@@li@@ve	758
g@@ø@@r	753
t@@o@@g	745
l@@o@@d	744
der@@p@@å	721
k@@o@@n@@ge	719
ga@@v	719
u@@den	704
til@@ba@@ge	703
er@@e	697
n@@a@@v@@n	694
fa@@der	692
la@@d	686
k@@o@@mme	683
j@@er@@u@@sa@@l@@e@@m	679
f@@o@@l@@k@@et	674
en@@d	664
sk@@ul@@le	657
sk@@ul@@de	657
h@@ve@@m	656
t@@o	650
h@@vi@@s	645
m@@a@@n	643
d@@o@@g	636
g@@jor@@de	631
gi@@ve	627
h@@ver	626
for@@d@@i	624
he@@n@@de	617
v@@o@@r	615
s@@ige	608
m@@æn@@d	601
k@@o@@n@@g	590
d@@a@@ge	590
å@@r	581
b@@li@@ver	571
d@@is@@s@@e	562
n@@o@@gen	559
t@@i@@d	552
n@@o@@g@@et	547
g@@å@@r	543
fre@@m	540
un@@der	537
å@@sy@@n	536
d@@r@@o@@g	518
sa@@mm@@en	510
l@@an@@de@@t	510
øj@@ne	504
m@@an@@ge	499
h@@ør@@te	494
æ@@g@@y@@p@@t@@en	492
ste@@d	491
an@@den	488
ta@@ge	481
b@@rø@@d	481
sk@@y@@l@@d	479
hj@@er@@te	475
de@@t@@s	474
b@@rø@@d@@re	473
b@@u@@d	472
gi@@ver	458
in@@t@@et	454
a@@l	433
st@@o@@d	432
j@@o	429
s@@læ@@gt	426
i@@de@@t	421
s@@en@@d@@te	420
m@@er@@e	419
st@@å@@r	415
j@@ud@@a@@s	397
l@@y@@der	396
g@@jor@@t	393
hel@@lige	392
j@@ud@@a	389
i@@bl@@an@@d@@t	388
b@@ør@@n	386
f@@å	383
t@@ing	380
va@@re	377
sy@@v	375
tr@@e	372
vil@@de	366
st@@or@@e	365
f@@ør@@te	365
an@@d@@re	364
ret	361
li@@v	361
is@@ra@@e@@li@@t@@er@@ne	359
k@@r@@i@@st@@u@@s	357
k@@u@@n	355
dø@@de	354
f@@i@@k	353
p@@ræ@@st@@en	346
h@@v@@or@@f@@o@@r	346
en@@h@@ver	346
st@@o@@r	345
la@@de	345
der@@s@@om	344
for@@a@@n	342
b@@y@@er	342
f@@å@@r	341
ta@@le	339
m@@e@@dens	339
k@@un@@de	337
t@@j@@en@@er	335
dens	335
he@@r	331
vi@@de	330
la@@der	330
e@@en	330
h@@ø@@re	329
j@@a	327
vre@@de	326
v@@or@@e	325
f@@ø@@r	325
sa@@mme	324
b@@y@@en	324
sp@@is@@e	323
br@@o@@der	323
bl@@an@@d@@t	323
van@@d	321
h@@i@@mm@@e@@l@@en	321
sa@@tt@@e	320
s@@l@@o@@g	320
ve@@j	319
b@@å@@de	319
h@@u@@st@@r@@u	318
la@@g@@de	315
s@@er	312
sa@@u@@l	311
ån@@d	310
gi@@ve@@t	310
en@@d@@n@@u	310
in@@d@@t@@i@@l	304
he@@n@@des	304
s@@jæ@@l	302
f@@æ@@d@@re	301
rø@@st	298
d@@ra@@ge	298
ho@@l@@de	297
o@@n@@d@@t	293
j@@a@@k@@o@@b	293
god@@t	293
tro	292
br@@in@@ge	290
ve@@l	287
o@@n@@de	287
h@@ær@@ska@@re@@r@@s	283
sa@@gt	282
m@@un@@d	282
fal@@d@@t	279
m@@en@@ne@@sk@@e	278
g@@ul@@d	278
lige	276
k@@en@@de	275
bl@@o@@d	275
ven@@d@@te	274
b@@y	273
n@@o@@g@@le	272
h@@v@@or@@l@@e@@des	272
st@@å	271
a@@tt@@er	271
ho@@l@@d@@t	270
a@@l@@en	269
lig@@e@@s@@om	267
s@@i@@den	266
h@@øre@@r	265
br@@a@@gt@@e	265
f@@o@@l@@k@@en@@e	264
ta@@l@@te	263
k@@læ@@der	258
b@@o@@r	258
0@@0@@0	258
a@@r@@o@@n	257
l@@o@@v	254
fre@@d	253
ta@@g@@er	252
ho@@l@@der	252
d@@a@@tt@@er	252
r@@ige	251
s@@vær@@d	250
k@@o@@n@@g@@ens	249
en@@e	245
f@@ør@@ste	241
ta@@g	240
ho@@ve@@d	235
il@@d	233
hel@@l@@er	233
h@@ø@@r	233
sa@@l@@o@@m@@o	230
fre@@lse	230
mo@@der	229
m@@e@@g@@et	229
jor@@dens	228
d@@a@@vi@@ds	228
dy@@r	227
s@@ø@@l@@v	225
m@@en@@ne@@sk@@er	225
f@@e@@m	224
k@@a@@l@@d@@te	223
dø@@d	222
r@@un@@d@@t	220
g@@er@@n@@in@@g@@er	220
f@@i@@re	220
a@@d	220
f@@j@@en@@der	219
hj@@e@@m	216
fry@@gt	216
r@@å@@b@@te	214
g@@læ@@de	214
b@@o	214
syn@@d	213
m@@e@@l@@l@@e@@m	213
go@@de	213
g@@u@@der	213
p@@ræ@@st@@er@@ne	212
dø@@tr@@e	212
st@@a@@mme	211
k@@ø@@d	211
nå@@de	210
j@@o@@s@@u@@a	210
d@@ø	210
d@@r@@i@@kk@@e	209
sp@@u@@r@@gt@@e	206
p@@a@@gt	206
bl@@e@@ve	206
ær@@e	205
k@@v@@in@@de	205
k@@o@@n@@g@@er	205
a@@v@@l@@ede	205
syn@@der	204
h@@æn@@der	204
æ@@l@@d@@ste	203
k@@en@@der	202
her@@lighed	202
ta@@l@@er	200
ve@@j@@en	199
s@@l@@å	199
k@@un@@ne	198
ha@@ve@@t	197
h@@øj@@re	196
mo@@n	195
m@@or@@gen	195
l@@ev@@i@@t@@er@@ne	195
m@@å@@ne@@d	194
h@@ve@@r@@t	193
fa@@ra@@o	193
h@@u	191
v@@æ@@ret	190
g@@an@@g	189
ør@@k@@en@@en	187
øj@@e	186
k@@o@@mm@@et	186
h@@ør@@t	186
an@@de@@t	186
tr@@æ@@l@@le	185
n@@æ@@ste	185
fre@@mm@@ede	185
fa@@der@@s	185
st@@en	184
i@@hj@@e@@l	184
dø@@den	184
bl@@e@@ve@@t	184
ta@@l@@ede	183
o@@fr@@e	183
ig@@en	183
l@@æn@@ge	182
e@@f@@t@@er@@k@@o@@mm@@er@@e	182
s@@l@@ægt@@er	180
l@@e@@ver	180
k@@v@@in@@der	180
k@@ra@@f@@t	180
a@@r@@be@@j@@de	180
ve@@r@@den	179
m@@å@@tt@@e	178
l@@e@@ven@@de	177
j@@o@@se@@f	176
ev@@ig@@t	176
de@@re@@f@@t@@er	176
a@@l@@t@@e@@ret	176
a@@br@@a@@ha@@m	176
tr@@æ@@l	175
s@@et	175
ø@@de	174
vis@@d@@om	174
f@@ø@@l@@g@@en@@de	174
jor@@d@@a@@n	172
m@@i@@d@@t	170
læ@@g@@ge	170
l@@o@@ven	170
b@@ø@@d	170
ta@@l	169
k@@r@@i@@st@@i	169
f@@an@@d@@t	169
t@@i	168
ig@@en@@ne@@m	166
en@@de	166
b@@j@@er@@g	166
vis@@e	165
fre@@m@@de@@l@@e@@s	165
a@@l@@d@@r@@ig	165
til@@lige	164
t@@o@@l@@v	164
t@@j@@en@@er@@e	164
l@@e@@ve	164
d@@is@@c@@i@@p@@le	164
m@@a@@gt	162
b@@o@@ede	162
a@@r@@vel@@o@@d	162
ta@@g@@et	161
h@@i@@n	161
fr@@u@@gt	161
br@@in@@g@@er	161
t@@e@@g@@n	160
ev@@ig	160
an@@s@@ig@@t	160
l@@an@@gt	159
ligg@@er	158
h@@v@@o	158
fa@@st	158
f@@ø@@re	158
ba@@be@@l	158
vi@@n	157
s@@i@@de	155
h@@ve@@r@@k@@en	155
be@@g@@ge	155
ven@@de	154
v@@æ@@r	154
jor@@d	154
b@@ær@@e	154
un@@ge	153
retfærdig@@e	153
r@@å@@d	153
enge@@l	153
her@@re@@s	152
h@@ve@@r@@an@@d@@re	152
a@@l@@en@@e	152
