i	45550
s@@e	12796
u	12756
d@@a	10596
a	9006
n@@a	8396
je	8059
o@@d	6889
ne	6642
k@@o@@j@@i	5334
j@@e@@r	4547
z@@a	4345
će	3929
g@@os@@po@@d	3808
re@@č@@e	3528
ka@@d	3326
s	3270
št@@o	2998
g@@a	2936
m@@u	2825
ka@@o	2824
p@@o	2569
ti	2397
i@@z	2322
b@@e@@š@@e	2284
te	2229
i@@h	2090
ne@@k@@a	2022
s@@v@@e	1926
št@@a	1923
j@@a	1823
s@@vo@@je	1783
i@@m	1777
m@@i	1745
k	1705
b@@i	1696
a@@li	1645
s@@u	1632
m@@e	1595
o@@n	1546
s@@i	1505
pre@@d	1495
li	1492
bo@@g	1491
a@@k@@o	1464
s@@vo@@g	1453
sa@@m	1440
t@@o	1434
ne@@g@@o	1427
k@@o	1419
t@@a@@k@@o	1373
d@@o	1315
k@@o@@je	1288
ć@@u	1221
t@@a@@d@@a	1191
na@@ro@@d	1187
ni	1176
s@@vo@@j@@i@@m	1168
b@@i@@ti	1162
s@@a	1147
g@@o@@vo@@re@@ć@@i	1100
va@@s	1065
c@@a@@r	1028
d@@od@@je	1027
si@@n	1016
z@@e@@m@@lj@@i	1001
na@@d	1000
ne@@će	993
si@@no@@vi	977
si@@n@@a	975
va@@m	965
i@@li	960
z@@at@@o	946
b@@e@@h@@u	946
ka@@k@@o	934
bo@@g@@a	929
g@@os@@po@@d@@a	918
g@@os@@po@@d@@u	888
s@@vo@@ju	885
o@@ni	884
da@@n	879
z@@e@@m@@lj@@u	875
o@@v@@o	874
mo@@j	869
si@@no@@va	863
s@@vo@@m	846
s@@vi	836
g@@d@@e	833
t@@vo@@je	832
p@@a	832
mo@@je	805
n@@j@@i@@h	797
n@@j@@i@@ma	769
s@@vo@@j	759
g@@o@@vo@@r@@i	759
m@@e@@d@@ju	758
b@@ud@@e	753
n@@j@@e@@m@@u	716
n@@j@@e@@g@@a	706
n@@j@@i@@m	702
ni@@je	698
lj@@ud@@i	692
da@@n@@a	688
i@@s@@u@@s	686
j@@o@@š	670
n@@j@@e@@g@@o@@v@@e	666
i@@m@@e	663
na@@s	660
k@@o@@j@@a	652
j@@e@@da@@n	651
t@@vo@@j	647
re@@č@@i	642
m@@en@@e	615
r@@u@@k@@e	612
va@@ma	602
t@@e@@b@@e	591
d@@om	587
g@@os@@po@@d@@e	585
č@@o@@ve@@k	582
ni@@ti	576
vi@@š@@e	569
z@@e@@m@@lj@@e	561
e@@v@@o	560
ve@@li	557
o@@va@@k@@o	547
c@@a@@r@@a	546
k@@o@@d	542
o@@n@@d@@e	541
da@@k@@l@@e	537
sa@@v	535
re@@č	535
n@@j@@e@@g@@o@@v	535
vi	534
s@@vo@@j@@i@@h	534
bo@@g@@u	533
re@@k@@o@@š@@e	525
op@@e@@t	522
k@@o@@ju	522
rad@@i	506
na@@ro@@d@@a	503
n@@j@@e@@g@@o@@va	503
u@@či@@ni	499
r@@u@@k@@u	499
o@@c@@a	499
g@@l@@e	499
iz@@m@@e@@d@@ju	492
dob@@r@@o	492
da@@vi@@d	492
g@@o@@d	490
s@@vi@@m	489
s@@va@@k@@i	489
m@@e@@st@@o	471
si@@no@@vi@@ma	464
z@@lo	463
t@@e@@b@@i	461
g@@os@@po@@d@@n@@j@@i	458
u@@st@@a	457
ne@@ma	456
o	454
mo@@j@@a	448
s@@r@@c@@e	447
c@@a@@r@@u	447
s@@e@@da@@m	443
s@@vo@@j@@o@@j	439
i@@ma	438
m@@en@@i	436
o@@ti@@d@@e	435
v@@re@@m@@e	434
v@@ra@@t@@a	434
po@@t@@om	434
da@@d@@e	433
o@@na@@j	432
