a	48409
s@@a	12018
n@@a	11311
v	7517
j@@e	5688
j@@e@@h@@o	5603
d@@o	4864
ab@@y	4663
t@@o	4544
z	4525
s@@om	4416
i@@ch	4348
ž@@e	4093
le@@b@@o	4084
i	4022
a@@l@@e	3961
s@@i	3791
k@@e@@ď	3612
h@@os@@pod@@i@@n	3293
b@@u@@d@@e	3077
t@@a@@k	2962
k@@t@@o@@r@@ý	2872
h@@o	2872
o@@d	2819
č@@o	2723
s	2713
z@@a	2680
k@@t@@o@@r@@í	2466
k	2325
bo@@l	2308
po@@ve@@d@@a@@l	2305
j@@ak@@o	2118
p@@o	2090
ak@@o	2070
b@@y	2038
m@@u	2000
a@@j	1980
a@@n@@i	1903
pr@@e@@d	1855
k@@t@@o@@r@@é	1757
s@@v@@o@@j@@h@@o	1753
t@@oh@@o	1685
j@@a	1636
k@@t@@o	1628
č@@i	1541
i@@m	1530
r@@ie@@ko@@l	1481
b@@u@@d@@ú	1476
ne@@ch	1463
st@@e	1456
s@@ú	1453
b@@ô@@h	1408
h@@ľ@@a	1391
s@@v@@o@@j@@e	1371
v@@te@@d@@y	1358
na@@d	1314
vo	1312
pr@@e	1307
z@@o	1294
o	1266
s@@y@@n@@o@@v	1265
m@@a	1258
bo@@l@@o	1239
a@@ž	1207
te@@n	1205
m@@i	1202
pr@@o@@t@@i	1192
h@@ov@@o@@r@@í	1177
ni@@e	1171
pr@@e@@t@@o	1169
bo@@li	1137
s@@v@@o@@j@@i@@ch	1133
vá@@m	1125
z@@e@@m@@e	1123
s@@v@@o@@j@@u	1107
po@@t@@om	1087
j@@ej	1075
sm@@e	1067
t@@y	1062
s@@v@@o@@j@@ej	1056
ť@@a	1054
s@@y@@n	1033
do@@m@@u	1031
vá@@s	1010
m@@e@@d@@z@@i	1007
v@@š@@e@@t@@k@@o	995
s@@y@@n@@o@@vi@@a	990
k@@r@@á@@ľ	974
bo@@h@@a	974
v@@š@@e@@t@@k@@ých	960
z@@e@@m	956
v@@š@@e@@t@@ky	956
t@@i	949
pod@@ľ@@a	921
ľ@@u@@d	896
s@@o	864
d@@a@@l	863
o@@n	859
d@@ň@@a	845
n@@í@@m	838
z@@e@@m@@i	831
t@@ých	826
s@@y@@n@@a	821
m@@ô@@j	818
a@@le@@b@@o	808
t@@a@@m	804
ne@@h@@o	798
t@@v@@o@@j@@e	796
r@@u@@ky	794
h@@ov@@o@@r@@il	792
k@@e@@b@@y	779
ni@@ch	777
h@@os@@pod@@i@@n@@ov@@i	770
v@@š@@e@@t@@c@@i	764
m@@o@@j@@e	764
j@@u	740
ku	726
bo@@la	726
u@@ž	724
h@@os@@pod@@i@@n@@a	715
a@@k	710
ľ@@u@@d@@u	709
t@@o@@t@@o	709
ho@@r@@e	707
e@@š@@te	706
st@@a@@l@@o	698
pr@@e@@t@@ož@@e	673
men@@o	663
d@@e@@ň	660
k@@a@@ž@@d@@ý	656
te@@d@@y	654
pr@@i	654
b@@u@@d@@e@@š	649
pr@@i@@š@@ie@@l	648
t@@v@@o@@j	644
m@@n@@e	642
te@@ra@@z	629
k@@t@@o@@r@@á	610
č@@l@@o@@ve@@ka	607
le@@n	604
sl@@o@@vo	600
pá@@n	600
b@@u@@d@@e@@m	597
d@@om	596
tí	594
t@@ak@@t@@o	590
te@@b@@e	586
k@@r@@á@@ľ@@a	584
ná@@s	581
m@@ň@@a	580
v@@y	577
k@@t@@o@@r@@ého	575
ne@@b@@u@@d@@e	543
č@@l@@o@@ve@@k	542
vi@@d@@e@@l	538
j@@e@@ž@@i@@š	532
ni@@m@@i	525
o@@t@@c@@a	515
ob@@e@@ť	512
s@@v@@o@@j	509
t@@ým	506
i@@z@@ra@@el@@ov@@i	505
s@@v@@o@@j@@m@@u	503
d@@áv@@i@@d	501
b@@u@@d@@e@@te	498
u@@či@@n@@il	494
ná@@m	484
ň@@om	477
bo@@l@@y	477
za@@s@@e	476
bo@@h@@u	475
te@@b@@a	473
pos@@la@@l	469
k@@t@@o@@r@@ú	469
s@@r@@d@@c@@e	464
k@@r@@á@@ľ@@ov@@i	462
j@@e@@d@@e@@n	455
k@@t@@o@@r@@ých	451
m@@á	449
m@@a@@l	443
te@@b@@ou	438
od@@po@@ve@@d@@a@@l	431
m@@n@@ou	429
k@@d@@e	429
s@@y@@n@@om	428
m@@ie@@st@@o	428
pr@@i@@š@@li	427
ro@@ko@@v	426
m@@u@@ž@@o@@vi@@a	426
v@@ia@@c@@ej	421
m@@e@@st@@a	417
